Trip ID,Location,Country,Category,Visitor Name,Age,Gender,Rating,Accommodation Available,Accommodation Type,Accommodation Amount,Travel Start Date,Travel End Date,Transport Mode,Destination,Transport Cost
22,Bora Bora,French Polynesia,beach,Karen Bennett,57,Female,1.7,Yes,Hotel,421,04/10/2025,04/15/2025,Cruise,"Bora Bora, French Polynesia",281
23,Tokyo,Japan,urban,Christopher Thomas,23,Female,3.1,Yes,Hotel,293,08/09/2024,08/17/2024,Bus,"Tokyo, Japan",88
24,Paris,France,cultural,Catherine Cooke,66,Male,4.7,Yes,Hotel,471,05/27/2024,06/04/2024,Flight,"Paris, France",203
25,Amsterdam,Netherlands,urban,Jessica Hart,32,Female,2.9,Yes,Guesthouse,157,06/16/2024,06/18/2024,Flight,"Amsterdam, Netherlands",90
26,New York,USA,urban,Ronald Pena,64,Female,1.9,Yes,Guesthouse,259,07/28/2024,07/29/2024,Train,"New York, USA",365
27,Sydney,Australia,beach,Connor Wilson,58,Male,4.1,Yes,Resort,185,07/20/2024,07/31/2024,Cruise,"Sydney, Australia",259
28,Bali,Indonesia,beach,Jason Phillips,32,Male,1.3,Yes,Apartment,206,01/15/2025,01/25/2025,Bus,"Bali, Indonesia",376
29,Edinburgh,UK,historical,Dustin Henson,58,Male,3.5,Yes,Hotel,77,03/23/2025,03/29/2025,Bus,"Edinburgh, UK",947
30,Bali,Indonesia,beach,Corey Miller,29,Female,1.5,Yes,Resort,136,01/15/2025,01/27/2025,Cruise,"Bali, Indonesia",374
31,Bali,Indonesia,beach,Tina Cruz,40,Female,1.3,Yes,Apartment,224,01/31/2025,02/04/2025,Cruise,"Bali, Indonesia",422
32,Tokyo,Japan,urban,Jason Myers,30,Male,1.9,Yes,Apartment,487,12/27/2024,12/28/2024,Flight,"Tokyo, Japan",891
33,Bangkok,Thailand,urban,Karen Jones,44,Female,4.2,Yes,Hotel,442,08/11/2024,08/14/2024,Flight,"Bangkok, Thailand",620
34,Dubai,UAE,urban,Pamela Singleton,47,Female,4.2,Yes,Apartment,175,04/26/2025,04/29/2025,Train,"Dubai, UAE",192
35,New York,USA,urban,Dylan Edwards,54,Male,4.1,Yes,Hostel,484,08/10/2024,08/23/2024,Cruise,"New York, USA",387
36,Dubai,UAE,urban,Ryan Maldonado,60,Male,1.6,Yes,Hotel,96,10/11/2024,10/13/2024,Bus,"Dubai, UAE",447
37,Cancun,Mexico,beach,Andrew Rodriguez,30,Female,3.9,Yes,Resort,226,07/27/2024,07/29/2024,Cruise,"Cancun, Mexico",967
38,Edinburgh,UK,historical,Tracy Gomez,25,Female,3.7,Yes,Apartment,310,08/24/2024,09/06/2024,Bus,"Edinburgh, UK",602
39,Cape Town,South Africa,nature,Cheryl Wilson,18,Female,1.1,Yes,Guesthouse,417,03/27/2025,03/29/2025,Bus,"Cape Town, South Africa",214
40,Rome,Italy,historical,Courtney Thompson,40,Male,2,Yes,Apartment,69,01/28/2025,02/05/2025,Cruise,"Rome, Italy",470
41,Sydney,Australia,beach,Mark Miller,67,Male,2.2,Yes,Guesthouse,116,04/01/2025,04/04/2025,Flight,"Sydney, Australia",986
42,London,UK,urban,Rebekah Blake,45,Female,2.3,Yes,Resort,404,03/20/2025,03/30/2025,Cruise,"London, UK",635
43,Bali,Indonesia,beach,Calvin Austin,19,Male,1.6,Yes,Hotel,261,11/12/2024,11/15/2024,Flight,"Bali, Indonesia",378
44,Amsterdam,Netherlands,urban,Michael Lester,64,Female,2.9,Yes,Hotel,276,05/02/2024,05/14/2024,Bus,"Amsterdam, Netherlands",582
45,Paris,France,cultural,Samantha Holloway,67,Female,4.8,Yes,Hotel,72,08/21/2024,08/28/2024,Flight,"Paris, France",353
46,Bangkok,Thailand,urban,Gary Evans,46,Male,2.1,Yes,Apartment,86,05/28/2024,06/06/2024,Cruise,"Bangkok, Thailand",842
47,Edinburgh,UK,historical,Jennifer Davidson,34,Male,4.9,Yes,Apartment,497,03/01/2025,03/04/2025,Train,"Edinburgh, UK",608
48,Bangkok,Thailand,urban,Ashley Lewis,23,Female,3.7,Yes,Guesthouse,456,11/29/2024,11/30/2024,Car Rental,"Bangkok, Thailand",919
49,Bali,Indonesia,beach,Kevin Dixon,42,Female,1.1,Yes,Resort,488,05/19/2024,05/26/2024,Bus,"Bali, Indonesia",477
50,Sydney,Australia,beach,Megan Warren,50,Male,1.1,Yes,Hostel,103,09/17/2024,09/26/2024,Car Rental,"Sydney, Australia",871
51,Barcelona,Spain,urban,Andrew White,27,Male,2,Yes,Guesthouse,328,01/19/2025,01/27/2025,Bus,"Barcelona, Spain",579
52,Dubai,UAE,urban,Justin Blevins,52,Male,4.4,Yes,Hotel,59,01/03/2025,01/11/2025,Bus,"Dubai, UAE",512
53,New York,USA,urban,Lisa Walker,22,Female,3.8,Yes,Hotel,479,12/26/2024,12/27/2024,Train,"New York, USA",496
54,Phuket,Thailand,beach,David Smith,70,Female,3.7,Yes,Hotel,308,07/12/2024,07/20/2024,Train,"Phuket, Thailand",229
55,Dubai,UAE,urban,Todd Torres,32,Female,1.9,Yes,Resort,122,11/25/2024,12/01/2024,Train,"Dubai, UAE",305
56,Rome,Italy,historical,Misty Martin,59,Male,2.9,Yes,Guesthouse,69,01/01/2025,01/11/2025,Train,"Rome, Italy",801
57,Edinburgh,UK,historical,Ronald Davis,23,Female,2.5,Yes,Resort,451,11/29/2024,11/30/2024,Train,"Edinburgh, UK",281
58,Sydney,Australia,beach,Zachary Garza,27,Female,2.4,Yes,Hotel,242,03/18/2025,03/26/2025,Cruise,"Sydney, Australia",178
59,Edinburgh,UK,historical,Austin Brown,68,Male,1.4,Yes,Guesthouse,119,01/09/2025,01/17/2025,Cruise,"Edinburgh, UK",412
60,London,UK,urban,Nicole Banks,64,Male,2.3,Yes,Resort,91,01/18/2025,01/24/2025,Bus,"London, UK",223
61,Istanbul,Turkey,historical,Reginald Donaldson,37,Female,4,Yes,Hotel,258,10/20/2024,10/30/2024,Train,"Istanbul, Turkey",495
62,Cape Town,South Africa,nature,Carl Thomas,29,Female,2.2,Yes,Resort,331,10/30/2024,11/12/2024,Train,"Cape Town, South Africa",591
63,Venice,Italy,historical,Michael Williams,25,Male,1.7,Yes,Resort,485,06/28/2024,07/11/2024,Cruise,"Venice, Italy",485
64,Venice,Italy,historical,Matthew Mcdonald,67,Male,1.2,Yes,Apartment,255,04/11/2025,04/23/2025,Car Rental,"Venice, Italy",907
65,Cancun,Mexico,beach,Jennifer Moore,24,Female,2.3,Yes,Hostel,169,05/03/2024,05/15/2024,Flight,"Cancun, Mexico",822
66,Tokyo,Japan,urban,Summer Williams,34,Male,4.2,Yes,Hostel,158,07/31/2024,08/10/2024,Flight,"Tokyo, Japan",139
67,Sydney,Australia,beach,Alyssa Becker,50,Male,2.1,Yes,Hotel,449,10/11/2024,10/15/2024,Car Rental,"Sydney, Australia",273
68,Cancun,Mexico,beach,John Jones,29,Male,4.6,Yes,Apartment,344,06/10/2024,06/23/2024,Flight,"Cancun, Mexico",448
69,Istanbul,Turkey,historical,Jessica Owens,23,Male,4.3,Yes,Resort,336,07/15/2024,07/22/2024,Bus,"Istanbul, Turkey",487
70,Venice,Italy,historical,Richard Wheeler,31,Female,3.1,Yes,Apartment,317,01/28/2025,01/31/2025,Car Rental,"Venice, Italy",375
71,London,UK,urban,Stephanie Hicks,46,Male,4.3,Yes,Resort,436,02/13/2025,02/22/2025,Cruise,"London, UK",768
72,Barcelona,Spain,urban,Carrie Gutierrez,54,Male,4.1,Yes,Resort,107,12/11/2024,12/22/2024,Cruise,"Barcelona, Spain",354
73,Dubai,UAE,urban,Brenda Hester,23,Female,4,Yes,Guesthouse,386,10/18/2024,10/27/2024,Cruise,"Dubai, UAE",853
74,Dubai,UAE,urban,Joel Richardson,22,Female,3.5,Yes,Resort,209,02/10/2025,02/11/2025,Bus,"Dubai, UAE",280
75,Marrakech,Morocco,cultural,Jesse Fitzgerald,49,Female,4.3,Yes,Hotel,277,01/16/2025,01/20/2025,Bus,"Marrakech, Morocco",316
76,Bali,Indonesia,beach,Timothy Mitchell,65,Female,4,Yes,Hostel,315,08/09/2024,08/19/2024,Car Rental,"Bali, Indonesia",517
77,London,UK,urban,Lisa Saunders,44,Female,2,Yes,Hotel,447,01/21/2025,01/26/2025,Car Rental,"London, UK",114
78,New York,USA,urban,Zachary Bright,68,Male,2,Yes,Hotel,81,02/07/2025,02/17/2025,Train,"New York, USA",605
79,Paris,France,cultural,Amy Walker,69,Male,2.6,Yes,Resort,117,09/10/2024,09/13/2024,Train,"Paris, France",101
80,Marrakech,Morocco,cultural,Michael Johnson,48,Male,4.1,Yes,Hostel,60,11/01/2024,11/03/2024,Car Rental,"Marrakech, Morocco",557
81,Bangkok,Thailand,urban,Justin Williams,60,Female,2.6,Yes,Guesthouse,490,01/22/2025,01/25/2025,Car Rental,"Bangkok, Thailand",548
82,Bangkok,Thailand,urban,Robert Villegas,56,Female,4.5,Yes,Resort,376,04/10/2025,04/23/2025,Bus,"Bangkok, Thailand",645
83,Sydney,Australia,beach,Jose Matthews,37,Female,2.3,Yes,Hostel,226,08/16/2024,08/23/2024,Bus,"Sydney, Australia",277
84,Rome,Italy,historical,Jesse Lee,58,Male,1.1,Yes,Resort,249,11/24/2024,11/26/2024,Bus,"Rome, Italy",238
85,Bangkok,Thailand,urban,Kathleen Goodman,33,Male,2,Yes,Resort,288,01/16/2025,01/20/2025,Car Rental,"Bangkok, Thailand",254
86,New York,USA,urban,Michael Gaines,23,Female,3.1,Yes,Hotel,209,08/19/2024,08/28/2024,Bus,"New York, USA",276
87,Rome,Italy,historical,Michelle Collier,62,Female,4,Yes,Apartment,332,06/05/2024,06/10/2024,Flight,"Rome, Italy",122
88,Rome,Italy,historical,Colleen Austin,42,Male,2.2,Yes,Apartment,333,01/23/2025,02/01/2025,Train,"Rome, Italy",170
89,Marrakech,Morocco,cultural,Mr. Adam Carter,68,Male,3,Yes,Apartment,475,07/17/2024,07/19/2024,Train,"Marrakech, Morocco",168
90,Bangkok,Thailand,urban,Mrs. Angela Hughes DDS,62,Male,2.3,Yes,Hotel,273,04/28/2024,05/06/2024,Car Rental,"Bangkok, Thailand",222
91,Amsterdam,Netherlands,urban,Amber Carroll,52,Male,4.6,Yes,Hotel,395,06/30/2024,07/04/2024,Bus,"Amsterdam, Netherlands",762
92,Venice,Italy,historical,Derek Coleman,64,Male,5,Yes,Guesthouse,234,10/16/2024,10/30/2024,Cruise,"Venice, Italy",335
93,Bora Bora,French Polynesia,beach,Tyler Howell,70,Male,3.4,Yes,Hostel,124,04/24/2025,04/27/2025,Flight,"Bora Bora, French Polynesia",353
94,Bora Bora,French Polynesia,beach,Gerald Allen,64,Female,1.7,Yes,Apartment,184,05/12/2024,05/19/2024,Bus,"Bora Bora, French Polynesia",776
95,Bali,Indonesia,beach,Harold Meyer,65,Male,3.8,Yes,Guesthouse,51,08/25/2024,09/07/2024,Bus,"Bali, Indonesia",664
96,Marrakech,Morocco,cultural,Michele Good,47,Female,1,Yes,Resort,431,11/13/2024,11/15/2024,Bus,"Marrakech, Morocco",355
97,New York,USA,urban,Chelsea Jones,45,Male,1.6,Yes,Apartment,52,01/16/2025,01/26/2025,Train,"New York, USA",303
98,Bangkok,Thailand,urban,Jay Davis,31,Female,1.5,Yes,Hostel,96,02/17/2025,03/02/2025,Cruise,"Bangkok, Thailand",422
99,New York,USA,urban,Justin Weber,27,Male,1.3,Yes,Guesthouse,263,12/17/2024,12/26/2024,Car Rental,"New York, USA",461
100,Amsterdam,Netherlands,urban,Christina Wolf,22,Female,1.8,Yes,Hostel,90,10/30/2024,11/04/2024,Train,"Amsterdam, Netherlands",403
101,Marrakech,Morocco,cultural,Daniel Edwards,41,Female,4.7,Yes,Resort,233,03/27/2025,04/10/2025,Flight,"Marrakech, Morocco",187
102,Edinburgh,UK,historical,Chris Johnson,23,Female,4.1,Yes,Hostel,233,04/24/2025,04/28/2025,Cruise,"Edinburgh, UK",170
103,Paris,France,cultural,Mary Jenkins,65,Male,4.4,Yes,Hostel,145,12/03/2024,12/15/2024,Cruise,"Paris, France",747
104,Phuket,Thailand,beach,Rodney Johnson,33,Male,3.1,Yes,Hostel,143,06/02/2024,06/10/2024,Car Rental,"Phuket, Thailand",73
105,Bora Bora,French Polynesia,beach,Catherine Harris,57,Male,2.5,Yes,Hostel,430,04/06/2025,04/17/2025,Flight,"Bora Bora, French Polynesia",276
106,Barcelona,Spain,urban,Megan King,26,Female,2.9,Yes,Resort,145,10/16/2024,10/23/2024,Car Rental,"Barcelona, Spain",532
107,Barcelona,Spain,urban,Kathy Marshall,24,Male,2.8,Yes,Guesthouse,170,05/27/2024,06/03/2024,Flight,"Barcelona, Spain",885
108,Venice,Italy,historical,Michael Maynard,51,Female,2.3,Yes,Resort,129,11/04/2024,11/08/2024,Train,"Venice, Italy",617
109,Singapore,Singapore,urban,Jeffrey Kramer,36,Male,3.6,Yes,Apartment,399,01/28/2025,02/10/2025,Flight,"Singapore, Singapore",808
110,New York,USA,urban,Daniel Rocha,57,Male,5,Yes,Apartment,246,02/11/2025,02/24/2025,Flight,"New York, USA",430
111,Sydney,Australia,beach,Brian Dickson,37,Male,4.6,Yes,Hotel,273,11/07/2024,11/18/2024,Train,"Sydney, Australia",100
112,Bora Bora,French Polynesia,beach,Mr. Jonathan Garrett,46,Male,3.5,Yes,Resort,309,06/03/2024,06/04/2024,Flight,"Bora Bora, French Polynesia",766
113,Bora Bora,French Polynesia,beach,Jason Kennedy,56,Female,3.6,Yes,Apartment,345,05/27/2024,06/08/2024,Train,"Bora Bora, French Polynesia",533
114,Sydney,Australia,beach,Angela Butler,48,Female,2.4,Yes,Guesthouse,361,09/10/2024,09/18/2024,Bus,"Sydney, Australia",192
115,Istanbul,Turkey,historical,Michelle Kelley,33,Male,3.8,Yes,Hostel,104,04/10/2025,04/17/2025,Bus,"Istanbul, Turkey",622
116,New York,USA,urban,Bianca Williams,52,Male,3.2,Yes,Hostel,176,09/20/2024,09/23/2024,Cruise,"New York, USA",58
117,Venice,Italy,historical,Samantha Snyder,42,Female,2.6,Yes,Guesthouse,415,04/10/2025,04/15/2025,Car Rental,"Venice, Italy",825
118,Bali,Indonesia,beach,Larry Ryan Jr.,47,Male,2.8,Yes,Hotel,360,06/02/2024,06/03/2024,Cruise,"Bali, Indonesia",439
119,Tokyo,Japan,urban,Troy Turner,24,Male,2.1,Yes,Hostel,148,03/15/2025,03/25/2025,Train,"Tokyo, Japan",648
120,Singapore,Singapore,urban,John Brown,53,Male,4.8,Yes,Hostel,360,10/01/2024,10/06/2024,Bus,"Singapore, Singapore",891
121,Cancun,Mexico,beach,Jessica Wade,22,Female,4.5,Yes,Guesthouse,182,01/16/2025,01/26/2025,Car Rental,"Cancun, Mexico",303
122,New York,USA,urban,Diane Simmons,49,Female,4.4,Yes,Hostel,78,06/12/2024,06/22/2024,Flight,"New York, USA",648
123,New York,USA,urban,Mr. Edward Rodriguez,40,Male,2,Yes,Resort,159,03/10/2025,03/13/2025,Flight,"New York, USA",755
124,Phuket,Thailand,beach,Heather Bowman,65,Male,4.5,Yes,Apartment,145,04/11/2025,04/20/2025,Cruise,"Phuket, Thailand",116
125,Singapore,Singapore,urban,Ronnie Manning,61,Male,2.8,Yes,Apartment,440,08/24/2024,09/03/2024,Flight,"Singapore, Singapore",230
126,Barcelona,Spain,urban,Allen Smith,40,Male,4.9,Yes,Apartment,77,10/18/2024,10/31/2024,Bus,"Barcelona, Spain",378
127,Cancun,Mexico,beach,Jillian Collins,65,Female,3.9,Yes,Hostel,354,02/20/2025,02/21/2025,Flight,"Cancun, Mexico",994
128,Marrakech,Morocco,cultural,Gary Campbell,55,Male,2.7,Yes,Hostel,159,04/25/2025,04/30/2025,Flight,"Marrakech, Morocco",210
129,Barcelona,Spain,urban,Madeline Hernandez,67,Male,3.1,Yes,Hostel,146,05/04/2024,05/07/2024,Flight,"Barcelona, Spain",564
130,Sydney,Australia,beach,Dr. Michelle Herrera,21,Male,3.1,Yes,Apartment,321,08/02/2024,08/16/2024,Car Rental,"Sydney, Australia",954
131,Cancun,Mexico,beach,Jennifer Brown,44,Male,3.5,Yes,Hotel,154,09/12/2024,09/13/2024,Train,"Cancun, Mexico",824
132,Venice,Italy,historical,Matthew Guzman,47,Female,2.3,Yes,Hotel,90,02/11/2025,02/20/2025,Cruise,"Venice, Italy",845
133,Cancun,Mexico,beach,Michael Stuart,39,Female,4.1,Yes,Resort,465,12/03/2024,12/14/2024,Cruise,"Cancun, Mexico",830
134,Bali,Indonesia,beach,Connie Cross,66,Male,1.8,Yes,Hotel,201,07/12/2024,07/26/2024,Flight,"Bali, Indonesia",733
135,Amsterdam,Netherlands,urban,Timothy Cochran,57,Female,2.1,Yes,Hostel,133,05/18/2024,05/20/2024,Cruise,"Amsterdam, Netherlands",992
136,Dubai,UAE,urban,Miranda Adams,26,Female,3.4,Yes,Guesthouse,62,10/14/2024,10/22/2024,Car Rental,"Dubai, UAE",608
137,Phuket,Thailand,beach,Benjamin Terry,55,Male,3.1,Yes,Resort,386,08/03/2024,08/13/2024,Bus,"Phuket, Thailand",897
138,Phuket,Thailand,beach,Tony Russo,63,Female,3.9,Yes,Resort,70,12/08/2024,12/15/2024,Train,"Phuket, Thailand",651
139,Bora Bora,French Polynesia,beach,Dr. Veronica Harrison,63,Male,1.9,Yes,Hostel,412,05/05/2024,05/14/2024,Flight,"Bora Bora, French Polynesia",821
140,Rome,Italy,historical,Timothy Riddle,28,Male,2.8,Yes,Resort,403,08/05/2024,08/14/2024,Bus,"Rome, Italy",848
141,Rome,Italy,historical,Dennis Goodman,20,Male,4.2,Yes,Guesthouse,305,06/30/2024,07/11/2024,Flight,"Rome, Italy",182
142,Marrakech,Morocco,cultural,David Mclean,39,Female,3.2,Yes,Hotel,485,09/09/2024,09/17/2024,Train,"Marrakech, Morocco",187
143,London,UK,urban,Alexander Cruz,62,Female,1.4,Yes,Hostel,316,07/03/2024,07/09/2024,Car Rental,"London, UK",203
144,New York,USA,urban,Matthew Dean,23,Female,2.4,Yes,Hostel,240,06/07/2024,06/10/2024,Cruise,"New York, USA",872
145,Cancun,Mexico,beach,Jon Carlson,49,Male,4.4,Yes,Hostel,359,02/02/2025,02/12/2025,Bus,"Cancun, Mexico",517
146,Paris,France,cultural,Briana Barnes,45,Female,3.9,Yes,Apartment,80,11/17/2024,11/29/2024,Train,"Paris, France",686
147,London,UK,urban,Samuel Burns,28,Female,3.6,Yes,Hostel,293,02/12/2025,02/23/2025,Cruise,"London, UK",698
148,Rome,Italy,historical,Bobby Schultz,50,Male,1.5,Yes,Guesthouse,112,01/04/2025,01/11/2025,Bus,"Rome, Italy",552
149,Phuket,Thailand,beach,Alexis Powell,64,Female,2.5,Yes,Hostel,404,01/24/2025,02/02/2025,Car Rental,"Phuket, Thailand",597
150,Marrakech,Morocco,cultural,Stephanie Lester,28,Female,1.2,Yes,Hostel,391,01/01/2025,01/10/2025,Car Rental,"Marrakech, Morocco",852
151,Cape Town,South Africa,nature,Jennifer Krause,38,Female,1.7,Yes,Hostel,69,04/24/2025,05/02/2025,Cruise,"Cape Town, South Africa",921
152,Marrakech,Morocco,cultural,Robert Russell,37,Male,2.9,Yes,Hotel,54,03/05/2025,03/11/2025,Bus,"Marrakech, Morocco",287
153,Paris,France,cultural,Gregory Flores,32,Male,4.8,Yes,Hotel,487,07/24/2024,08/02/2024,Bus,"Paris, France",253
154,London,UK,urban,Dawn Gray,60,Male,1.1,Yes,Apartment,77,08/30/2024,09/07/2024,Flight,"London, UK",829
155,Barcelona,Spain,urban,Megan Richards,55,Female,4.4,Yes,Apartment,401,09/18/2024,09/20/2024,Car Rental,"Barcelona, Spain",819
156,Tokyo,Japan,urban,Diana Flores,30,Male,1.3,Yes,Apartment,425,06/14/2024,06/22/2024,Train,"Tokyo, Japan",258
157,Cancun,Mexico,beach,Derek Meyer,18,Female,4.3,Yes,Hostel,467,01/01/2025,01/04/2025,Cruise,"Cancun, Mexico",56
158,Istanbul,Turkey,historical,William Walsh,39,Female,3.7,Yes,Guesthouse,430,06/22/2024,07/02/2024,Car Rental,"Istanbul, Turkey",843
159,Singapore,Singapore,urban,Jessica Taylor DVM,47,Female,2.7,Yes,Guesthouse,476,05/15/2024,05/29/2024,Cruise,"Singapore, Singapore",652
160,Dubai,UAE,urban,Timothy Brown,46,Male,3.3,Yes,Hostel,337,06/26/2024,06/29/2024,Flight,"Dubai, UAE",496
161,Singapore,Singapore,urban,Ronald Kline,25,Female,1.6,Yes,Resort,342,04/21/2025,05/01/2025,Bus,"Singapore, Singapore",717
162,Dubai,UAE,urban,Lucas Weaver,32,Female,1.2,Yes,Guesthouse,56,12/08/2024,12/14/2024,Bus,"Dubai, UAE",284
163,Amsterdam,Netherlands,urban,Tammy Walker,18,Female,2.8,Yes,Resort,181,11/21/2024,11/30/2024,Flight,"Amsterdam, Netherlands",908
164,Paris,France,cultural,John Smith,57,Male,1.3,Yes,Guesthouse,98,06/29/2024,06/30/2024,Train,"Paris, France",454
165,Phuket,Thailand,beach,Kevin Dougherty,28,Female,4.6,Yes,Apartment,158,07/28/2024,08/03/2024,Car Rental,"Phuket, Thailand",939
166,Bora Bora,French Polynesia,beach,Steven Arroyo,60,Male,3.3,Yes,Apartment,461,12/23/2024,01/03/2025,Cruise,"Bora Bora, French Polynesia",621
167,Barcelona,Spain,urban,David Underwood,54,Female,1.3,Yes,Apartment,339,02/13/2025,02/26/2025,Cruise,"Barcelona, Spain",193
168,Bali,Indonesia,beach,Mr. Brian Gonzalez MD,50,Female,3.1,Yes,Resort,168,01/08/2025,01/13/2025,Train,"Bali, Indonesia",434
169,Paris,France,cultural,Hannah Harris,41,Female,1.4,Yes,Guesthouse,382,06/11/2024,06/20/2024,Train,"Paris, France",108
170,Singapore,Singapore,urban,Michael Freeman,68,Male,3.1,Yes,Guesthouse,277,02/04/2025,02/15/2025,Train,"Singapore, Singapore",352
171,Amsterdam,Netherlands,urban,Gary Velasquez,45,Male,4.3,Yes,Hostel,297,07/12/2024,07/14/2024,Flight,"Amsterdam, Netherlands",950
172,New York,USA,urban,John Campbell,67,Male,4.7,Yes,Guesthouse,52,03/29/2025,04/09/2025,Cruise,"New York, USA",665
173,Amsterdam,Netherlands,urban,Savannah Levine,53,Male,4.2,Yes,Apartment,386,04/01/2025,04/09/2025,Car Rental,"Amsterdam, Netherlands",658
174,Rome,Italy,historical,Tiffany Mccarty,61,Male,1.5,Yes,Apartment,467,02/17/2025,03/01/2025,Flight,"Rome, Italy",813
175,Bora Bora,French Polynesia,beach,Tiffany Moore,45,Female,3,Yes,Resort,292,03/29/2025,04/03/2025,Cruise,"Bora Bora, French Polynesia",399
176,Bali,Indonesia,beach,Shane Baxter,31,Male,2,Yes,Hostel,365,08/04/2024,08/14/2024,Train,"Bali, Indonesia",717
177,Istanbul,Turkey,historical,Jamie Ramirez,69,Male,2.4,Yes,Apartment,472,10/14/2024,10/19/2024,Flight,"Istanbul, Turkey",224
178,Edinburgh,UK,historical,Robert Strong,27,Male,2.2,Yes,Apartment,293,12/04/2024,12/16/2024,Flight,"Edinburgh, UK",450
179,Singapore,Singapore,urban,Stephen Guzman,64,Male,3.1,Yes,Resort,206,11/30/2024,12/09/2024,Bus,"Singapore, Singapore",779
180,London,UK,urban,Stephanie Diaz,35,Female,1.2,Yes,Apartment,225,10/03/2024,10/09/2024,Flight,"London, UK",196
181,Phuket,Thailand,beach,Ms. Michele Lewis,59,Male,4.3,Yes,Resort,199,01/21/2025,01/28/2025,Cruise,"Phuket, Thailand",674
182,Bali,Indonesia,beach,Alicia Vazquez,62,Male,4.7,Yes,Apartment,162,04/30/2024,05/07/2024,Car Rental,"Bali, Indonesia",139
183,Cancun,Mexico,beach,Ariana Spencer,59,Female,4.4,Yes,Hostel,225,07/23/2024,08/06/2024,Flight,"Cancun, Mexico",983
184,Paris,France,cultural,Nancy Lee,43,Male,1.8,Yes,Guesthouse,65,08/31/2024,09/05/2024,Bus,"Paris, France",379
185,Sydney,Australia,beach,Jennifer Roach,28,Female,2.1,Yes,Hostel,416,07/15/2024,07/29/2024,Bus,"Sydney, Australia",399
186,Edinburgh,UK,historical,Chris Mora,48,Female,4.2,Yes,Resort,470,09/06/2024,09/14/2024,Flight,"Edinburgh, UK",587
187,Dubai,UAE,urban,Richard Smith,56,Male,2.7,Yes,Hostel,55,01/03/2025,01/13/2025,Train,"Dubai, UAE",931
